,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
326,625b2b8795f92c7e1de95fd0,creamy_friends,Creamy Friends,"['pfps', 'games']",2022-04-16T20:48:07.802Z,True,False,False,,5555.0,2022-04-18T16:30:02.457Z,False,v4
292,6243d876bea360023da7525a,curedlabs,Cursed Labs,"['pfps', 'art']",2022-03-30T04:11:34.753Z,True,False,False,,0.0,2022-04-03T14:05:37.065Z,,v4
219,6243d876bea360023da7525a,curedlabs,Cursed Labs,"['pfps', 'art']",2022-03-30T04:11:34.753Z,True,False,False,,0.0,2022-04-03T14:05:37.065Z,,v3
53,621c423e814536dcf79487f6,cyborg_iguanas,Cyborg Iguanas,"['games', 'pfps']",2022-02-28T03:32:13.979Z,True,False,False,,2222.0,,,v2
6,621c423e814536dcf79487f6,cyborg_iguanas,Cyborg Iguanas,"['games', 'pfps']",2022-02-28T03:32:13.979Z,True,False,False,,2222.0,,,v1
233,621c423e814536dcf79487f6,cyborg_iguanas,Cyborg Iguanas,"['games', 'pfps']",2022-02-28T03:32:13.979Z,True,False,False,,2222.0,,,v4
134,621c423e814536dcf79487f6,cyborg_iguanas,Cyborg Iguanas,"['games', 'pfps']",2022-02-28T03:32:13.979Z,True,False,False,,2222.0,,,v3
259,623542dd47a586b152d2f829,cynova_legacy,Cynova Legacy,"['art', 'virtual_worlds']",2022-03-19T02:41:33.700Z,True,False,False,,0.0,,,v4
163,623542dd47a586b152d2f829,cynova_legacy,Cynova Legacy,"['art', 'virtual_worlds']",2022-03-19T02:41:33.700Z,True,False,False,,0.0,,,v3
99,623542dd47a586b152d2f829,cynova_legacy,Cynova Legacy,"['art', 'virtual_worlds']",2022-03-19T02:41:33.700Z,True,False,False,,0.0,,,v2
142,61bda255abff6174de871723,danger_valley_ducks,Danger Valley Ducks,"['pfps', 'games']",2021-12-18T08:56:53.231Z,True,False,,,0.0,,,v3
28,61bda255abff6174de871723,danger_valley_ducks,Danger Valley Ducks,"['pfps', 'games']",2021-12-18T08:56:53.231Z,True,False,,,0.0,,,v1
64,61bda255abff6174de871723,danger_valley_ducks,Danger Valley Ducks,"['pfps', 'games']",2021-12-18T08:56:53.231Z,True,False,,,0.0,,,v2
239,61bda255abff6174de871723,danger_valley_ducks,Danger Valley Ducks,"['pfps', 'games']",2021-12-18T08:56:53.231Z,True,False,,,0.0,,,v4
282,61c08db180e1460011feda53,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,['pfps'],2021-12-20T14:05:35.961Z,True,False,False,gif,,2022-04-03T14:35:00.047Z,False,v4
19,61c08db180e1460011feda53,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,['pfps'],2021-12-20T14:05:35.961Z,True,False,False,,,,False,v1
126,61c08db180e1460011feda53,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,['pfps'],2021-12-20T14:05:35.961Z,True,False,False,,,,False,v2
203,61c08db180e1460011feda53,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,['pfps'],2021-12-20T14:05:35.961Z,True,False,False,gif,,2022-04-03T14:35:00.047Z,False,v3
101,6223c1988d606b0012d45010,debonair_degen_hawks,Debonair Degen Hawks,['pfps'],2022-03-05T22:13:21.199Z,True,False,False,,,,,v2
294,6223c1988d606b0012d45010,debonair_degen_hawks,Debonair Degen Hawks,['pfps'],2022-03-05T22:13:21.199Z,True,False,False,,,2022-04-03T14:34:50.046Z,,v4
222,6223c1988d606b0012d45010,debonair_degen_hawks,Debonair Degen Hawks,['pfps'],2022-03-05T22:13:21.199Z,True,False,False,,,2022-04-03T14:34:50.046Z,,v3
308,62530d9295f92c7e1d4df0fe,decimusdynamics,Decimus Dynamics,"['games', 'art']",2022-04-10T17:02:10.292Z,True,False,False,,0.0,2022-04-18T16:36:51.659Z,,v4
109,61f574757381c1001066bd0d,defi_pirates,DeFi Pirates,['pfps'],2022-01-29T17:08:04.186Z,True,False,False,,,,,v2
